Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Bajaj Allianz RBL Api Response,4.49,20:19: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.46,20:34: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.68,20:49: 23 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.97,21:4: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.97,21:19: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.84,21:34: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.94,21:49: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.53,22:4: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,13.47,22:19: 30 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.14,22:34: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.52,22:49: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.17,23:4: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.97,23:19: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.72,23:34: 23 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.71,23:49: 19 ,null,PASS,=HYPERLINK("null"),,
